
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:        128, Nsync-hyd:        128
Sync-Point 153, TimeBin=19, Time: 0.888672, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 154, TimeBin=19, Time: 0.893555, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 155, TimeBin=19, Time: 0.898438, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 156, TimeBin=19, Time: 0.90332, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 157, TimeBin=19, Time: 0.908203, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 158, TimeBin=19, Time: 0.913086, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 159, TimeBin=19, Time: 0.917969, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 160, TimeBin=19, Time: 0.922852, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 161, TimeBin=19, Time: 0.927734, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 162, TimeBin=19, Time: 0.932617, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 163, TimeBin=19, Time: 0.9375, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 164, TimeBin=19, Time: 0.942383, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 165, TimeBin=19, Time: 0.947266, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 166, TimeBin=19, Time: 0.952148, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 167, TimeBin=19, Time: 0.957031, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 168, TimeBin=19, Time: 0.961914, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 169, TimeBin=19, Time: 0.966797, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 170, TimeBin=19, Time: 0.97168, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 171, TimeBin=19, Time: 0.976562, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 172, TimeBin=19, Time: 0.981445, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

