
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:        256, Nsync-hyd:        256
Sync-Point 171, TimeBin=16, Time: 0.00373535, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 172, TimeBin=16, Time: 0.00375977, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 173, TimeBin=16, Time: 0.00378418, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 174, TimeBin=16, Time: 0.00380859, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 175, TimeBin=16, Time: 0.00383301, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 176, TimeBin=16, Time: 0.00385742, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 177, TimeBin=16, Time: 0.00388184, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 178, TimeBin=16, Time: 0.00390625, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 179, TimeBin=16, Time: 0.00393066, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 180, TimeBin=16, Time: 0.00395508, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 181, TimeBin=16, Time: 0.00397949, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 182, TimeBin=16, Time: 0.00400391, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 183, TimeBin=16, Time: 0.00402832, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 184, TimeBin=16, Time: 0.00405273, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 185, TimeBin=16, Time: 0.00407715, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 186, TimeBin=16, Time: 0.00410156, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 187, TimeBin=16, Time: 0.00412598, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 188, TimeBin=16, Time: 0.00415039, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 189, TimeBin=16, Time: 0.0041748, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 190, TimeBin=16, Time: 0.00419922, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 191, TimeBin=16, Time: 0.00422363, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 192, TimeBin=16, Time: 0.00424805, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 193, TimeBin=16, Time: 0.00427246, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 194, TimeBin=16, Time: 0.00429688, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 195, TimeBin=16, Time: 0.00432129, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 196, TimeBin=16, Time: 0.0043457, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 197, TimeBin=16, Time: 0.00437012, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 198, TimeBin=16, Time: 0.00439453, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 199, TimeBin=16, Time: 0.00441895, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 200, TimeBin=16, Time: 0.00444336, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 201, TimeBin=16, Time: 0.00446777, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 202, TimeBin=16, Time: 0.00449219, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 203, TimeBin=16, Time: 0.0045166, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 204, TimeBin=16, Time: 0.00454102, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 205, TimeBin=16, Time: 0.00456543, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 206, TimeBin=16, Time: 0.00458984, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 207, TimeBin=16, Time: 0.00461426, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 208, TimeBin=16, Time: 0.00463867, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

