
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:      22500, Nsync-hyd:      22500
Sync-Point 136, TimeBin=18, Time: 0.256836, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         19

Sync-Point 137, TimeBin=21, Time: 0.257812, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        332

Sync-Point 138, TimeBin=18, Time: 0.258789, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         22

Sync-Point 139, TimeBin=19, Time: 0.259766, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        247

Sync-Point 140, TimeBin=18, Time: 0.260742, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         27

Sync-Point 141, TimeBin=20, Time: 0.261719, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        284

Sync-Point 142, TimeBin=18, Time: 0.262695, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         23

Sync-Point 143, TimeBin=19, Time: 0.263672, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        258

Sync-Point 144, TimeBin=18, Time: 0.264648, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         18

Sync-Point 145, TimeBin=22, Time: 0.265625, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        523

Sync-Point 146, TimeBin=18, Time: 0.266602, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         18

Sync-Point 147, TimeBin=19, Time: 0.267578, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        260

Sync-Point 148, TimeBin=18, Time: 0.268555, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         18

Sync-Point 149, TimeBin=20, Time: 0.269531, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        292

Sync-Point 150, TimeBin=18, Time: 0.270508, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         18

Sync-Point 151, TimeBin=19, Time: 0.271484, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        265

Sync-Point 152, TimeBin=18, Time: 0.272461, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         18

Sync-Point 153, TimeBin=21, Time: 0.273438, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        375

Sync-Point 154, TimeBin=18, Time: 0.274414, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         18

Sync-Point 155, TimeBin=19, Time: 0.275391, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        276

Sync-Point 156, TimeBin=18, Time: 0.276367, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         21

Sync-Point 157, TimeBin=20, Time: 0.277344, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        316

Sync-Point 158, TimeBin=18, Time: 0.27832, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 159, TimeBin=19, Time: 0.279297, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        276

Sync-Point 160, TimeBin=18, Time: 0.280273, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         23

Sync-Point 161, TimeBin=23, Time: 0.28125, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        999

Sync-Point 162, TimeBin=18, Time: 0.282227, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         25

Sync-Point 163, TimeBin=19, Time: 0.283203, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        282

Sync-Point 164, TimeBin=18, Time: 0.28418, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         27

Sync-Point 165, TimeBin=20, Time: 0.285156, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        332

Sync-Point 166, TimeBin=18, Time: 0.286133, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         25

Sync-Point 167, TimeBin=19, Time: 0.287109, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        295

Sync-Point 168, TimeBin=18, Time: 0.288086, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         24

Sync-Point 169, TimeBin=21, Time: 0.289062, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        404

Sync-Point 170, TimeBin=18, Time: 0.290039, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         24

Sync-Point 171, TimeBin=19, Time: 0.291016, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        307

Sync-Point 172, TimeBin=18, Time: 0.291992, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         23

Sync-Point 173, TimeBin=20, Time: 0.292969, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        344

Sync-Point 174, TimeBin=18, Time: 0.293945, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         24

Sync-Point 175, TimeBin=19, Time: 0.294922, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        316

Sync-Point 176, TimeBin=18, Time: 0.295898, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         22

Sync-Point 177, TimeBin=22, Time: 0.296875, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        608

Sync-Point 178, TimeBin=18, Time: 0.297852, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         21

Sync-Point 179, TimeBin=19, Time: 0.298828, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        326

Sync-Point 180, TimeBin=18, Time: 0.299805, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         24

Sync-Point 181, TimeBin=20, Time: 0.300781, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        368

Sync-Point 182, TimeBin=18, Time: 0.301758, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         25

Sync-Point 183, TimeBin=19, Time: 0.302734, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        332

Sync-Point 184, TimeBin=18, Time: 0.303711, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         26

Sync-Point 185, TimeBin=21, Time: 0.304688, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        442

Sync-Point 186, TimeBin=18, Time: 0.305664, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         26

Sync-Point 187, TimeBin=19, Time: 0.306641, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        332

Sync-Point 188, TimeBin=18, Time: 0.307617, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         30

Sync-Point 189, TimeBin=20, Time: 0.308594, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        376

